Fecha_Acc,Dia_semana,ANTONIO NARIÑO,BARRIOS UNIDOS,BOSA,CANDELARIA,CHAPINERO,CIUDAD BOLIVAR,ENGATIVA,FONTIBON,KENNEDY,LOS MARTIRES,PUENTE ARANDA,RAFAEL URIBE URIBE,SAN CRISTOBAL,SANTA FE,SUBA,SUMAPAZ,TEUSAQUILLO,TUNJUELITO,USAQUEN,USME
2023-01-01,Sunday,0,2,6,0,0,3,5,0,11,1,9,10,0,3,9,0,0,0,0,2
2023-01-02,Monday,8,0,7,0,2,2,8,9,10,2,5,0,0,2,3,0,1,3,0,0
2023-01-03,Tuesday,4,2,5,0,0,2,3,10,7,0,4,0,2,0,9,0,2,2,4,0
2023-01-04,Wednesday,2,0,5,0,0,2,8,3,7,4,6,2,0,1,12,0,0,7,4,4
2023-01-05,Thursday,0,6,3,0,7,0,6,9,6,4,3,6,0,5,5,0,1,4,5,9
2023-01-06,Friday,0,7,0,0,0,2,12,2,11,0,5,2,3,2,6,0,7,3,3,0
2023-01-07,Saturday,0,0,3,0,0,2,5,2,11,12,2,6,2,2,10,0,3,2,0,5
2023-01-08,Sunday,5,0,6,0,0,0,2,0,11,0,3,0,2,4,4,0,2,0,2,0
2023-01-09,Monday,0,9,4,0,3,4,0,3,6,3,0,4,0,0,6,0,1,3,0,8
2023-01-10,Tuesday,4,5,2,0,2,2,3,2,10,2,10,0,5,0,7,0,3,5,11,0
2023-01-11,Wednesday,0,4,2,0,0,3,6,2,13,2,3,0,4,3,1,0,3,0,4,2
2023-01-12,Thursday,3,4,0,0,3,0,3,7,4,4,7,2,6,2,5,0,5,0,2,0
2023-01-13,Friday,0,0,4,0,3,2,20,16,15,4,2,7,7,5,2,0,7,6,0,2
2023-01-14,Saturday,9,0,7,0,4,5,13,13,20,5,8,2,4,1,6,0,6,4,6,2
2023-01-15,Sunday,0,4,3,0,0,2,4,9,2,2,12,1,2,1,13,0,0,0,7,5
2023-01-16,Monday,2,2,19,0,2,7,17,9,17,0,6,0,5,0,6,0,0,4,3,2
2023-01-17,Tuesday,0,11,9,0,0,3,2,2,12,2,8,0,5,0,5,0,3,2,9,0
2023-01-18,Wednesday,0,3,7,0,0,5,4,3,14,0,7,0,6,3,10,0,4,2,0,5
2023-01-19,Thursday,2,6,5,0,2,0,16,5,14,2,0,4,4,2,5,0,9,2,5,0
2023-01-20,Friday,2,3,21,2,0,4,11,10,18,3,7,0,6,0,5,0,12,7,7,9
2023-01-21,Saturday,5,2,10,0,9,3,3,3,3,3,9,2,3,3,6,0,6,0,9,0
2023-01-22,Sunday,0,6,8,0,4,2,7,0,10,0,0,4,0,1,5,0,10,5,0,0
2023-01-23,Monday,3,10,5,0,0,2,9,5,20,0,9,12,4,7,13,0,0,3,2,2
2023-01-24,Tuesday,8,1,0,0,2,4,2,9,7,0,7,6,0,6,2,0,3,3,0,0
2023-01-25,Wednesday,5,9,3,0,2,9,3,2,8,2,9,4,0,7,2,0,5,4,0,5
2023-01-26,Thursday,9,3,4,0,4,3,6,6,13,0,1,5,2,0,4,0,3,2,4,2
2023-01-27,Friday,2,0,14,2,6,0,13,4,4,0,7,4,2,0,11,0,18,0,4,6
2023-01-28,Saturday,0,3,10,0,6,3,16,0,13,1,9,6,5,6,23,0,14,4,2,11
2023-01-29,Sunday,1,6,5,0,0,4,6,4,12,0,3,8,7,0,13,0,0,0,7,3
2023-01-30,Monday,0,2,8,0,7,1,6,2,21,2,4,4,0,1,17,0,0,11,14,4
2023-01-31,Tuesday,0,4,18,0,6,2,10,10,15,0,11,3,10,0,4,0,7,4,7,4
2023-02-01,Wednesday,0,2,9,3,2,4,13,4,14,3,6,6,9,2,12,0,10,4,1,0
2023-02-02,Thursday,3,0,6,0,2,2,2,4,10,0,11,0,2,3,4,0,2,0,4,1
2023-02-03,Friday,8,3,7,0,8,5,10,6,12,3,17,2,8,3,11,0,15,4,2,2
2023-02-04,Saturday,0,9,9,0,4,2,7,9,8,2,5,11,0,3,9,0,6,10,10,3
2023-02-05,Sunday,0,0,6,0,3,5,8,6,8,4,1,7,3,0,4,0,5,0,2,7
2023-02-06,Monday,2,0,3,0,3,2,6,0,19,0,7,8,9,6,4,0,2,3,9,7
2023-02-07,Tuesday,5,1,15,2,7,9,6,5,18,4,18,0,5,2,2,0,4,4,2,2
2023-02-08,Wednesday,6,2,6,2,5,14,12,10,4,0,14,6,0,5,14,0,9,6,2,11
2023-02-09,Thursday,0,5,2,0,2,9,14,9,19,2,10,2,0,4,2,0,3,2,0,2
2023-02-10,Friday,4,3,18,0,3,3,15,6,12,7,5,2,4,1,7,0,13,3,9,3
2023-02-11,Saturday,2,0,15,0,3,4,7,5,24,0,13,4,3,5,6,0,2,2,3,2
2023-02-12,Sunday,0,0,2,3,4,0,8,2,9,0,4,12,2,5,8,0,0,0,2,0
2023-02-13,Monday,2,0,7,0,1,2,17,4,22,9,14,6,0,6,10,0,0,2,4,0
2023-02-14,Tuesday,4,1,19,0,5,7,7,2,18,0,5,1,7,2,12,0,7,4,3,0
2023-02-15,Wednesday,4,5,8,0,8,2,15,10,20,9,11,6,2,1,12,0,2,0,2,7
2023-02-16,Thursday,0,2,12,0,0,6,8,6,23,12,8,5,2,3,4,0,2,0,5,5
2023-02-17,Friday,2,3,6,0,7,13,14,5,17,9,5,2,12,5,3,0,2,2,6,5
2023-02-18,Saturday,10,5,4,2,5,0,3,4,12,4,4,7,6,9,4,0,2,0,5,6
2023-02-19,Sunday,2,8,6,0,4,0,16,7,11,2,6,1,0,2,13,0,6,3,10,3
2023-02-20,Monday,2,7,14,0,7,3,7,8,8,0,7,5,4,5,4,0,3,4,7,0
2023-02-21,Tuesday,0,2,14,0,8,6,6,2,6,3,8,5,3,0,11,0,6,3,5,4
2023-02-22,Wednesday,0,0,6,0,0,7,9,2,12,2,6,5,4,5,7,0,11,2,0,10
2023-02-23,Thursday,0,3,10,0,0,6,0,4,7,11,10,7,3,6,10,0,0,4,6,13
2023-02-24,Friday,2,3,3,24,7,0,15,6,19,0,9,4,0,3,13,0,7,8,8,2
2023-02-25,Saturday,0,0,7,0,2,3,15,8,16,7,11,6,3,8,7,0,0,0,8,5
2023-02-26,Sunday,6,0,7,2,0,2,13,7,12,3,3,0,8,0,6,0,0,5,2,2
2023-02-27,Monday,3,5,8,0,0,4,14,15,17,0,18,3,0,14,16,0,0,3,4,4
2023-02-28,Tuesday,8,8,9,0,2,7,10,7,17,1,4,10,3,2,8,0,2,5,2,2
2023-03-01,Wednesday,6,4,6,0,8,4,4,2,17,0,11,1,0,0,12,0,14,5,4,2
2023-03-02,Thursday,0,2,7,0,2,3,4,6,9,2,12,0,2,4,12,0,2,5,9,5
2023-03-03,Friday,2,0,8,2,11,5,7,12,6,6,6,2,2,2,7,0,5,3,0,6
2023-03-04,Saturday,0,2,11,0,0,18,4,6,4,9,8,0,3,4,10,0,2,0,9,4
2023-03-05,Sunday,8,1,4,0,2,8,7,2,12,2,5,9,2,1,4,0,2,0,4,0
2023-03-06,Monday,2,3,2,0,8,5,13,8,12,3,9,0,4,13,7,0,0,0,9,2
2023-03-07,Tuesday,4,0,0,3,2,12,7,4,12,0,8,0,2,3,6,0,2,0,2,0
2023-03-08,Wednesday,2,3,6,2,8,7,2,5,17,2,13,2,1,8,6,0,4,5,5,0
2023-03-09,Thursday,3,0,4,0,5,2,16,7,21,1,9,0,4,2,2,0,0,0,2,2
2023-03-10,Friday,2,0,3,3,11,9,14,4,18,0,11,6,8,0,5,0,5,0,19,0
2023-03-11,Saturday,2,3,4,0,6,0,9,6,23,0,10,2,4,7,2,0,4,0,7,4
2023-03-12,Sunday,0,0,17,0,0,5,10,3,13,2,8,2,2,4,3,0,4,0,2,4
2023-03-13,Monday,8,7,9,3,5,4,4,0,12,0,15,0,0,2,6,0,0,0,8,0
2023-03-14,Tuesday,0,6,2,0,4,5,15,5,10,2,6,0,6,4,6,0,4,0,5,4
2023-03-15,Wednesday,6,2,11,0,2,6,10,6,9,0,4,7,11,4,7,0,8,0,12,0
2023-03-16,Thursday,0,0,8,0,5,0,2,4,8,2,16,7,5,2,11,0,3,6,12,2
2023-03-17,Friday,4,0,5,0,4,5,5,6,13,0,9,2,4,7,14,0,0,2,6,9
2023-03-18,Saturday,1,3,0,0,2,4,10,8,15,2,5,8,2,2,13,0,8,4,3,1
2023-03-19,Sunday,0,2,2,0,2,6,9,0,4,0,10,8,3,4,7,0,0,9,1,4
2023-03-20,Monday,3,4,10,0,0,8,8,11,26,0,4,0,1,0,4,0,0,2,2,5
2023-03-21,Tuesday,3,4,5,0,6,7,5,6,28,6,2,0,0,0,7,0,2,0,4,7
2023-03-22,Wednesday,0,9,8,0,3,7,6,6,24,2,11,7,0,10,2,0,2,2,4,2
2023-03-23,Thursday,0,2,2,0,0,6,11,5,19,6,9,6,3,0,0,0,10,2,7,3
2023-03-24,Friday,0,4,9,0,6,3,5,10,19,3,7,3,2,3,8,0,3,2,2,4
2023-03-25,Saturday,9,0,1,0,1,11,9,10,14,0,12,0,2,4,7,0,0,0,11,0
2023-03-26,Sunday,5,2,3,5,4,2,1,2,4,0,2,3,0,4,4,0,5,0,7,3
2023-03-27,Monday,8,2,11,0,1,4,11,2,17,2,15,5,6,7,6,0,0,0,6,4
2023-03-28,Tuesday,0,7,7,0,0,4,2,4,6,5,8,8,7,2,11,0,3,0,7,2
2023-03-29,Wednesday,9,2,0,0,5,4,4,9,10,4,10,0,0,7,10,0,2,5,3,6
2023-03-30,Thursday,0,2,6,0,0,0,12,7,10,5,11,7,3,7,10,0,0,0,7,0
2023-03-31,Friday,0,2,12,2,2,0,4,11,11,8,16,8,7,5,11,0,9,1,8,2
2023-04-01,Saturday,13,0,4,0,13,5,2,2,10,4,14,0,0,6,13,0,2,2,0,3
2023-04-02,Sunday,0,4,1,1,7,2,6,0,12,0,2,6,2,0,6,0,0,2,12,3
2023-04-03,Monday,0,2,8,0,6,2,10,0,14,4,6,3,7,2,6,0,6,0,2,0
