Fecha_Acc,Personas_accidentadas_por_dia
2023-01-01,61
2023-01-02,62
2023-01-03,56
2023-01-04,67
2023-01-05,79
2023-01-06,65
2023-01-07,67
2023-01-08,41
2023-01-09,54
2023-01-10,73
2023-01-11,52
2023-01-12,57
2023-01-13,102
2023-01-14,115
2023-01-15,67
2023-01-16,101
2023-01-17,73
2023-01-18,73
2023-01-19,83
2023-01-20,127
2023-01-21,79
2023-01-22,62
2023-01-23,106
2023-01-24,60
2023-01-25,79
2023-01-26,71
2023-01-27,97
2023-01-28,132
2023-01-29,79
2023-01-30,104
2023-01-31,115
2023-02-01,104
2023-02-02,56
2023-02-03,126
2023-02-04,107
2023-02-05,69
2023-02-06,90
2023-02-07,111
2023-02-08,128
2023-02-09,87
2023-02-10,118
2023-02-11,100
2023-02-12,61
2023-02-13,106
2023-02-14,104
2023-02-15,124
2023-02-16,103
2023-02-17,118
2023-02-18,92
2023-02-19,100
2023-02-20,95
2023-02-21,92
2023-02-22,88
2023-02-23,100
2023-02-24,133
2023-02-25,106
2023-02-26,78
2023-02-27,128
2023-02-28,107
2023-03-01,100
2023-03-02,86
2023-03-03,92
2023-03-04,94
2023-03-05,73
2023-03-06,100
2023-03-07,67
2023-03-08,98
2023-03-09,80
2023-03-10,118
2023-03-11,93
2023-03-12,79
2023-03-13,83
2023-03-14,84
2023-03-15,105
2023-03-16,93
2023-03-17,95
2023-03-18,91
2023-03-19,71
2023-03-20,88
2023-03-21,92
2023-03-22,105
2023-03-23,91
2023-03-24,93
2023-03-25,91
2023-03-26,56
2023-03-27,107
2023-03-28,83
2023-03-29,90
2023-03-30,87
2023-03-31,119
2023-04-01,93
2023-04-02,66
2023-04-03,78
2023-04-04,81
2023-04-05,87
2023-04-06,64
2023-04-07,35
2023-04-08,52
2023-04-09,76
2023-04-10,62
2023-04-11,88
2023-04-12,120
2023-04-13,103
2023-04-14,94
2023-04-15,138
2023-04-16,87
2023-04-17,94
2023-04-18,92
2023-04-19,70
2023-04-20,88
2023-04-21,87
2023-04-22,132
2023-04-23,74
2023-04-24,59
2023-04-25,75
2023-04-26,62
2023-04-27,87
2023-04-28,128
2023-04-29,104
2023-04-30,78
2023-05-01,53
2023-05-02,104
2023-05-03,101
2023-05-04,82
2023-05-05,70
2023-05-06,83
2023-05-07,96
2023-05-08,90
2023-05-09,104
2023-05-10,86
2023-05-11,102
2023-05-12,98
2023-05-13,105
2023-05-14,77
2023-05-15,92
2023-05-16,78
2023-05-17,76
2023-05-18,97
2023-05-19,108
2023-05-20,105
2023-05-21,51
2023-05-22,59
2023-05-23,82
2023-05-24,69
2023-05-25,91
2023-05-26,105
2023-05-27,114
2023-05-28,66
2023-05-29,80
2023-05-30,90
2023-05-31,115
2023-06-01,104
2023-06-02,100
2023-06-03,144
2023-06-04,66
2023-06-05,82
2023-06-06,109
2023-06-07,82
2023-06-08,91
2023-06-09,113
2023-06-10,87
2023-06-11,74
2023-06-12,67
2023-06-13,115
2023-06-14,99
2023-06-15,98
2023-06-16,101
2023-06-17,95
2023-06-18,70
2023-06-19,63
2023-06-20,83
2023-06-21,76
2023-06-22,87
2023-06-23,84
2023-06-24,112
2023-06-25,148
2023-06-26,118
2023-06-27,93
2023-06-28,91
2023-06-29,79
2023-06-30,87
2023-07-01,105
2023-07-02,60
2023-07-03,50
2023-07-04,74
2023-07-05,70
2023-07-06,82
2023-07-07,82
2023-07-08,74
2023-07-09,80
2023-07-10,82
2023-07-11,108
2023-07-12,73
2023-07-13,96
2023-07-14,106
2023-07-15,99
2023-07-16,102
2023-07-17,83
2023-07-18,124
2023-07-19,101
2023-07-20,74
2023-07-21,91
2023-07-22,82
2023-07-23,71
2023-07-24,69
2023-07-25,77
2023-07-26,90
2023-07-27,83
2023-07-28,82
2023-07-29,103
2023-07-30,91
2023-07-31,69
2023-08-01,77
2023-08-02,72
2023-08-03,73
2023-08-04,88
2023-08-05,100
2023-08-06,70
2023-08-07,83
2023-08-08,97
2023-08-09,96
2023-08-10,99
2023-08-11,76
2023-08-12,97
2023-08-13,71
2023-08-14,106
2023-08-15,81
2023-08-16,103
2023-08-17,95
2023-08-18,86
2023-08-19,93
2023-08-20,57
2023-08-21,52
2023-08-22,90
2023-08-23,120
2023-08-24,72
2023-08-25,136
2023-08-26,142
2023-08-27,95
2023-08-28,73
2023-08-29,89
2023-08-30,68
2023-08-31,95
2023-09-01,109
2023-09-02,94
2023-09-03,86
2023-09-04,80
2023-09-05,61
2023-09-06,97
2023-09-07,81
2023-09-08,102
2023-09-09,73
2023-09-10,85
2023-09-11,99
2023-09-12,81
2023-09-13,112
2023-09-14,78
2023-09-15,83
2023-09-16,80
2023-09-17,77
2023-09-18,102
2023-09-19,92
2023-09-20,84
2023-09-21,60
2023-09-22,92
2023-09-23,105
2023-09-24,74
2023-09-25,96
2023-09-26,88
2023-09-27,82
2023-09-28,107
2023-09-29,143
2023-09-30,147
2023-10-01,83
2023-10-02,81
2023-10-03,114
2023-10-04,71
2023-10-05,84
2023-10-06,116
2023-10-07,102
2023-10-08,74
2023-10-09,66
2023-10-10,41
2023-10-11,90
2023-10-12,90
2023-10-13,88
2023-10-14,97
2023-10-15,64
2023-10-16,53
2023-10-17,90
2023-10-18,67
2023-10-19,78
2023-10-20,126
2023-10-21,91
2023-10-22,60
2023-10-23,76
2023-10-24,86
2023-10-25,106
2023-10-26,92
2023-10-27,96
2023-10-28,100
2023-10-29,66
2023-10-30,72
2023-10-31,93
2023-11-01,123
2023-11-02,88
2023-11-03,97
2023-11-04,87
2023-11-05,70
2023-11-06,50
2023-11-07,107
2023-11-08,87
2023-11-09,99
2023-11-10,111
2023-11-11,109
2023-11-12,67
2023-11-13,67
2023-11-14,71
2023-11-15,68
2023-11-16,108
2023-11-17,102
2023-11-18,103
2023-11-19,79
2023-11-20,71
2023-11-21,91
2023-11-22,70
2023-11-23,100
2023-11-24,119
2023-11-25,85
2023-11-26,77
2023-11-27,105
2023-11-28,95
2023-11-29,84
2023-11-30,76
2023-12-01,126
2023-12-02,135
2023-12-03,57
2023-12-04,107
2023-12-05,75
2023-12-06,83
2023-12-07,96
2023-12-08,83
2023-12-09,103
2023-12-10,80
2023-12-11,87
2023-12-12,97
2023-12-13,75
2023-12-14,78
2023-12-15,91
2023-12-16,125
2023-12-17,75
2023-12-18,86
2023-12-19,93
2023-12-20,103
2023-12-21,83
2023-12-22,82
2023-12-23,74
2023-12-24,75
2023-12-25,64
2023-12-26,63
2023-12-27,85
2023-12-28,80
2023-12-29,84
2023-12-30,44
2023-12-31,39
