Codigo_Accidente,Longitud,Latitud,Fecha_Acc,Hora_Min_Acc,Localidad,Clase_Acc,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Velocidad,Con_Trans_Public,Clase,Vehiculo_Viajaba_Clasificado,Edad,Sexo,Gravedad_Indicador_Tradicional_y,Muerte_Posterior,Condicion,clasificacion_Horario
10591851,-74.16212943976,4.59967903419,2023-05-26,20:43:00,BOSA,Choque,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,Automovil,TAXI,42.0,Masculino,ILESO,N,CONDUCTOR,Noche
10591851,-74.16212943976,4.59967903419,2023-05-26,20:43:00,BOSA,Choque,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,Moto,MOTOCICLETA,23.0,Femenino,HERIDO,N,PASAJERO,Noche
10591851,-74.16212943976,4.59967903419,2023-05-26,20:43:00,BOSA,Choque,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,Moto,MOTOCICLETA,29.0,Masculino,HERIDO,N,MOTOCICLISTA,Noche
10591854,-74.15833572242,4.57056657083,2023-05-31,09:40:00,CIUDAD BOLIVAR,Atropello,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,23.0,Masculino,HERIDO,N,MOTOCICLISTA,Mañana
10591854,-74.15833572242,4.57056657083,2023-05-31,09:40:00,CIUDAD BOLIVAR,Atropello,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,47.0,Femenino,HERIDO,N,PEATÓN,Mañana
10592149,-74.07903460448,4.62390117026,2023-06-08,20:00:00,TEUSAQUILLO,Otros,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,Moto,MOTOCICLETA,25.0,Masculino,HERIDO,N,MOTOCICLISTA,Noche
10592358,-74.07735413988,4.59009062644,2023-06-14,06:41:00,CANDELARIA,Choque,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,Automovil,TAXI,33.0,Masculino,HERIDO,N,PASAJERO,Mañana
10592358,-74.07735413988,4.59009062644,2023-06-14,06:41:00,CANDELARIA,Choque,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,Automovil,TAXI,20.0,Masculino,HERIDO,N,CONDUCTOR,Mañana
10592358,-74.07735413988,4.59009062644,2023-06-14,06:41:00,CANDELARIA,Choque,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,Automovil,LIVIANO,48.0,Femenino,HERIDO,N,PASAJERO,Mañana
10592358,-74.07735413988,4.59009062644,2023-06-14,06:41:00,CANDELARIA,Choque,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,Automovil,LIVIANO,14.0,Femenino,HERIDO,N,PASAJERO,Mañana
10592358,-74.07735413988,4.59009062644,2023-06-14,06:41:00,CANDELARIA,Choque,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,Automovil,LIVIANO,46.0,Femenino,HERIDO,N,CONDUCTOR,Mañana
10592361,-74.02997238326,4.76397425509,2023-06-14,20:15:00,USAQUEN,Choque,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,Automovil,TAXI,57.0,Masculino,ILESO,N,CONDUCTOR,Noche
10592361,-74.02997238326,4.76397425509,2023-06-14,20:15:00,USAQUEN,Choque,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,Moto,MOTOCICLETA,28.0,Masculino,HERIDO,N,MOTOCICLISTA,Noche
10592370,-74.10176498477,4.74281682081,2023-06-13,10:35:00,SUBA,Atropello,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,20.0,Masculino,ILESO,N,PASAJERO,Mañana
10592370,-74.10176498477,4.74281682081,2023-06-13,10:35:00,SUBA,Atropello,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,27.0,Masculino,HERIDO,N,MOTOCICLISTA,Mañana
10592370,-74.10176498477,4.74281682081,2023-06-13,10:35:00,SUBA,Atropello,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,55.0,Femenino,HERIDO,N,PEATÓN,Mañana
10592372,-74.08351925795,4.54636070319,2023-06-14,18:20:00,SAN CRISTOBAL,Atropello,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,25.0,Masculino,HERIDO,N,MOTOCICLISTA,Noche
10592372,-74.08351925795,4.54636070319,2023-06-14,18:20:00,SAN CRISTOBAL,Atropello,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,28.0,Femenino,HERIDO,N,PEATÓN,Noche
10592372,-74.08351925795,4.54636070319,2023-06-14,18:20:00,SAN CRISTOBAL,Atropello,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,Moto,MOTOCICLETA,12.0,Femenino,HERIDO,N,PEATÓN,Noche
